t,payload.p_x,payload.p_y,payload.p_z,payload.q_w,payload.q_x,payload.q_y,payload.q_z,payload.v_x,payload.v_y,payload.v_z,payload.w_x,payload.w_y,payload.w_z,payload.F_x,payload.F_y,payload.F_z,payload.T_x,payload.T_y,payload.T_z,canopy.p_x,canopy.p_y,canopy.p_z,canopy.q_w,canopy.q_x,canopy.q_y,canopy.q_z,canopy.v_x,canopy.v_y,canopy.v_z,canopy.w_x,canopy.w_y,canopy.w_z,canopy.F_x,canopy.F_y,canopy.F_z,canopy.T_x,canopy.T_y,canopy.T_z
0.0,0.0,0.0,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.10000000000001,0.0,0.0,0.0,0.0,0.0,205.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.0014344493631598296,0.0,0.0,199.99998990725322,1.0,0.0,0.0,0.0,0.0,0.0,-0.014071943166477648,0.0,0.0,0.0,0.0,0.0,-98.09996361390137,0.0,0.0,0.0,0.0,0.0,204.99998990725322,1.0,0.0,0.0,0.0,0.0,0.0,-0.014071943166477629,0.0,0.0,0.0,0.0,0.0,-19.61990864329826,0.0,0.0,0.0
0.015778942994758127,0.0,0.0,199.9987788046014,1.0,0.0,0.0,0.0,0.0,0.0,-0.15478450581808487,0.0,0.0,0.0,0.0,0.0,-98.09559767280442,0.0,0.0,0.0,0.0,0.0,204.9987788046014,1.0,0.0,0.0,0.0,0.0,0.0,-0.15478450581808484,0.0,0.0,0.0,0.0,0.0,-19.60847320148703,0.0,0.0,0.0
0.04707497533799543,0.0,0.0,199.98913249628677,1.0,0.0,0.0,0.0,0.0,0.0,-0.46161268548573775,0.0,0.0,0.0,0.0,0.0,-98.06084539763,0.0,0.0,0.0,0.0,0.0,204.98913249628677,1.0,0.0,0.0,0.0,0.0,0.0,-0.461612685485738,0.0,0.0,0.0,0.0,0.0,-19.508289479517977,0.0,0.0,0.0
0.08798825270971877,0.0,0.0,199.9620544614004,1.0,0.0,0.0,0.0,0.0,0.0,-0.8618304830955096,0.0,0.0,0.0,0.0,0.0,-97.96351936013237,0.0,0.0,0.0,0.0,0.0,204.9620544614004,1.0,0.0,0.0,0.0,0.0,0.0,-0.8618304830955128,0.0,0.0,0.0,0.0,0.0,-19.18873320260094,0.0,0.0,0.0
0.12890153008144212,0.0,0.0,199.91863840629455,1.0,0.0,0.0,0.0,0.0,0.0,-1.260097514215344,0.0,0.0,0.0,0.0,0.0,-97.80823334429532,0.0,0.0,0.0,0.0,0.0,204.91863840629455,1.0,0.0,0.0,0.0,0.0,0.0,-1.2600975142153517,0.0,0.0,0.0,0.0,0.0,-18.608514598135137,0.0,0.0,0.0
0.18315055817960357,0.0,0.0,199.83606005241336,1.0,0.0,0.0,0.0,0.0,0.0,-1.7831579527804262,0.0,0.0,0.0,0.0,0.0,-97.51573889271135,0.0,0.0,0.0,0.0,0.0,204.83606005241336,1.0,0.0,0.0,0.0,0.0,0.0,-1.7831579527804542,0.0,0.0,0.0,0.0,0.0,-17.356789122359185,0.0,0.0,0.0
0.23739958627776503,0.0,0.0,199.72532457702212,1.0,0.0,0.0,0.0,0.0,0.0,-2.297615957695102,0.0,0.0,0.0,0.0,0.0,-97.12997656738612,0.0,0.0,0.0,0.0,0.0,204.72532457702212,1.0,0.0,0.0,0.0,0.0,0.0,-2.297615957695159,0.0,0.0,0.0,0.0,0.0,-15.467817706598009,0.0,0.0,0.0
0.30816954142878494,0.0,0.0,199.53949094236233,1.0,0.0,0.0,0.0,0.0,0.0,-2.950052019676429,0.0,0.0,0.0,0.0,0.0,-96.50085922867106,0.0,0.0,0.0,0.0,0.0,204.53949094236233,1.0,0.0,0.0,0.0,0.0,0.0,-2.9500520196766127,0.0,0.0,0.0,0.0,0.0,-11.926099485322823,0.0,0.0,0.0
0.39827787311099666,0.0,0.0,199.2377500034006,1.0,0.0,0.0,0.0,0.0,0.0,-3.7380246335940646,0.0,0.0,0.0,0.0,0.0,-95.53249282535083,0.0,0.0,0.0,0.0,0.0,204.23775000340058,1.0,0.0,0.0,0.0,0.0,0.0,-3.7380246335948524,0.0,0.0,0.0,0.0,0.0,-5.531872337997404,0.0,0.0,0.0
0.4522396997312706,0.0,0.0,199.0239911260171,1.0,0.0,0.0,0.0,0.0,0.0,-4.180466633288362,0.0,0.0,0.0,0.0,0.0,-94.88872964126315,0.0,0.0,0.0,0.0,0.0,204.02399112601705,1.0,0.0,0.0,0.0,0.0,0.0,-4.180466633289099,0.0,0.0,0.0,0.0,0.0,-0.6998445322180196,0.0,0.0,0.0
