t,payload.p_x,payload.p_y,payload.p_z,payload.q_w,payload.q_x,payload.q_y,payload.q_z,payload.v_x,payload.v_y,payload.v_z,payload.w_x,payload.w_y,payload.w_z,payload.F_x,payload.F_y,payload.F_z,payload.T_x,payload.T_y,payload.T_z,canopy.p_x,canopy.p_y,canopy.p_z,canopy.q_w,canopy.q_x,canopy.q_y,canopy.q_z,canopy.v_x,canopy.v_y,canopy.v_z,canopy.w_x,canopy.w_y,canopy.w_z,canopy.F_x,canopy.F_y,canopy.F_z,canopy.T_x,canopy.T_y,canopy.T_z
0.0,0.0,0.0,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.10000000000001,0.0,0.0,0.0,0.0,0.0,205.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.0014344493631598296,0.0,0.0,199.99998990725192,1.0,0.0,0.0,0.0,0.0,0.0,-0.014071946802763106,0.0,0.0,0.0,0.0,0.0,-98.09996361388255,0.0,0.0,0.0,0.0,0.0,204.99998990725192,1.0,0.0,0.0,0.0,0.0,0.0,-0.01407194680276309,0.0,0.0,0.0,0.0,0.0,-19.619999818069413,0.0,0.0,0.0
0.015778942994758127,0.0,0.0,199.99877878503105,1.0,0.0,0.0,0.0,0.0,0.0,-0.15478950107729092,0.0,0.0,0.0,0.0,0.0,-98.09559738865296,0.0,0.0,0.0,0.0,0.0,204.99877878503105,1.0,0.0,0.0,0.0,0.0,0.0,-0.1547895010772909,0.0,0.0,0.0,0.0,0.0,-19.619977986943265,0.0,0.0,0.0
0.13498912553615167,0.0,0.0,199.91066152235717,1.0,0.0,0.0,0.0,0.0,0.0,-1.3230363862961172,0.0,0.0,0.0,0.0,0.0,-97.7783593548986,0.0,0.0,0.0,0.0,0.0,204.91066152235715,1.0,0.0,0.0,0.0,0.0,0.0,-1.323036386296262,0.0,0.0,0.0,0.0,0.0,-19.618391796774493,0.0,0.0,0.0
0.3443099786496574,0.0,0.0,199.42023309417957,1.0,0.0,0.0,0.0,0.0,0.0,-3.3577728141473244,0.0,0.0,0.0,0.0,0.0,-96.02828521762532,0.0,0.0,0.0,0.0,0.0,204.42023309417914,1.0,0.0,0.0,0.0,0.0,0.0,-3.357772814156581,0.0,0.0,0.0,0.0,0.0,-19.60964142608807,0.0,0.0,0.0
0.5536308317631631,0.0,0.0,198.50797978895827,1.0,0.0,0.0,0.0,0.0,0.0,-5.349272013779981,0.0,0.0,0.0,0.0,0.0,-92.84204683952598,0.0,0.0,0.0,0.0,0.0,203.5079797889556,1.0,0.0,0.0,0.0,0.0,0.0,-5.349272013804955,0.0,0.0,0.0,0.0,0.0,-19.593710234197385,0.0,0.0,0.0
0.7629516848766688,0.0,0.0,197.1854869246118,1.0,0.0,0.0,0.0,0.0,0.0,-7.273775833135025,0.0,0.0,0.0,0.0,0.0,-88.37818901750904,0.0,0.0,0.0,0.0,0.0,202.18548692460575,1.0,0.0,0.0,0.0,0.0,0.0,-7.273775833141215,0.0,0.0,0.0,0.0,0.0,-19.57139094508746,0.0,0.0,0.0
0.9455781878404136,0.0,0.0,195.70914507866402,1.0,0.0,0.0,0.0,0.0,0.0,-8.881989464538496,0.0,0.0,0.0,0.0,0.0,-83.60401085414826,0.0,0.0,0.0,0.0,0.0,200.70914507865754,1.0,0.0,0.0,0.0,0.0,0.0,-8.881989464537567,0.0,0.0,0.0,0.0,0.0,-19.54752005427076,0.0,0.0,0.0
1.1282046908041585,0.0,0.0,193.946056518302,1.0,0.0,0.0,0.0,0.0,0.0,-10.412375840736535,0.0,0.0,0.0,0.0,0.0,-78.17827139329148,0.0,0.0,0.0,0.0,0.0,198.94605651829607,1.0,0.0,0.0,0.0,0.0,0.0,-10.412375840731602,0.0,0.0,0.0,0.0,0.0,-19.520391356966552,0.0,0.0,0.0
1.3108311937679034,0.0,0.0,191.91126213506936,1.0,0.0,0.0,0.0,0.0,0.0,-11.856300913100206,0.0,0.0,0.0,0.0,0.0,-72.26991864091104,0.0,0.0,0.0,0.0,0.0,196.91126213506456,1.0,0.0,0.0,0.0,0.0,0.0,-11.856300913093586,0.0,0.0,0.0,0.0,0.0,-19.4908495932047,0.0,0.0,0.0
1.4934576967316482,0.0,0.0,189.62114463198986,1.0,0.0,0.0,0.0,0.0,0.0,-13.207699344419368,0.0,0.0,0.0,0.0,0.0,-66.04603958753921,0.0,0.0,0.0,0.0,0.0,194.6211446319863,1.0,0.0,0.0,0.0,0.0,0.0,-13.207699344412621,0.0,0.0,0.0,0.0,0.0,-19.459730197937862,0.0,0.0,0.0
1.7146654298688715,0.0,0.0,186.5300772085855,1.0,0.0,0.0,0.0,0.0,0.0,-14.715707308185916,0.0,0.0,0.0,0.0,0.0,-58.30856235963892,0.0,0.0,0.0,0.0,0.0,191.53007720858335,1.0,0.0,0.0,0.0,0.0,0.0,-14.715707308180164,0.0,0.0,0.0,0.0,0.0,-19.42104281179835,0.0,0.0,0.0
1.9358731630060948,0.0,0.0,183.12123254340574,1.0,0.0,0.0,0.0,0.0,0.0,-16.08085099965235,0.0,0.0,0.0,0.0,0.0,-50.58339496958259,0.0,0.0,0.0,0.0,0.0,188.12123254340466,1.0,0.0,0.0,0.0,0.0,0.0,-16.080850999648153,0.0,0.0,0.0,0.0,0.0,-19.382416974848038,0.0,0.0,0.0
