t,payload.p_x,payload.p_y,payload.p_z,payload.q_w,payload.q_x,payload.q_y,payload.q_z,payload.v_x,payload.v_y,payload.v_z,payload.w_x,payload.w_y,payload.w_z,payload.F_x,payload.F_y,payload.F_z,payload.T_x,payload.T_y,payload.T_z,canopy.p_x,canopy.p_y,canopy.p_z,canopy.q_w,canopy.q_x,canopy.q_y,canopy.q_z,canopy.v_x,canopy.v_y,canopy.v_z,canopy.w_x,canopy.w_y,canopy.w_z,canopy.F_x,canopy.F_y,canopy.F_z,canopy.T_x,canopy.T_y,canopy.T_z
0.11999999999999998,0.0,0.0,199.9234857928194,1.0,0.0,0.0,0.0,0.0,0.0,-1.177088163786546,0.0,0.0,0.0,0.0,0.0,-98.06790972084305,0.0,0.0,0.0,0.0,0.0,204.9234857928194,1.0,0.0,0.0,0.0,0.0,0.0,-1.177088163786546,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.12999999999999998,0.0,0.0,199.91073422942196,1.0,0.0,0.0,0.0,0.0,0.0,-1.2751563397440207,0.0,0.0,0.0,0.0,0.0,-98.06181114896945,0.0,0.0,0.0,0.0,0.0,204.91073422942196,1.0,0.0,0.0,0.0,0.0,0.0,-1.2751563397440207,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.13999999999999999,0.0,0.0,199.89700203950184,1.0,0.0,0.0,0.0,0.0,0.0,-1.3732189920123727,0.0,0.0,0.0,0.0,0.0,-98.05518272202262,0.0,0.0,0.0,0.0,0.0,204.89700203950184,1.0,0.0,0.0,0.0,0.0,0.0,-1.3732189920123727,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.15,0.0,0.0,199.88228928271042,1.0,0.0,0.0,0.0,0.0,0.0,-1.4712756791422472,0.0,0.0,0.0,0.0,0.0,-98.04802455584937,0.0,0.0,0.0,0.0,0.0,204.88228928271042,1.0,0.0,0.0,0.0,0.0,0.0,-1.4712756791422472,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.16,0.0,0.0,199.86659602311252,1.0,0.0,0.0,0.0,0.0,0.0,-1.5693259597887732,0.0,0.0,0.0,0.0,0.0,-98.04033677583128,0.0,0.0,0.0,0.0,0.0,204.86659602311252,1.0,0.0,0.0,0.0,0.0,0.0,-1.5693259597887732,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.17,0.0,0.0,199.84992232918532,1.0,0.0,0.0,0.0,0.0,0.0,-1.6673693927195066,0.0,0.0,0.0,0.0,0.0,-98.03211951688016,0.0,0.0,0.0,0.0,0.0,204.84992232918532,1.0,0.0,0.0,0.0,0.0,0.0,-1.6673693927195066,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.18000000000000002,0.0,0.0,199.8322682738171,1.0,0.0,0.0,0.0,0.0,0.0,-1.7654055368223673,0.0,0.0,0.0,0.0,0.0,-98.02337292343289,0.0,0.0,0.0,0.0,0.0,204.8322682738171,1.0,0.0,0.0,0.0,0.0,0.0,-1.7654055368223673,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.19000000000000003,0.0,0.0,199.81363393430598,1.0,0.0,0.0,0.0,0.0,0.0,-1.8634339511135722,0.0,0.0,0.0,0.0,0.0,-98.01409714944599,0.0,0.0,0.0,0.0,0.0,204.81363393430598,1.0,0.0,0.0,0.0,0.0,0.0,-1.8634339511135722,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.20000000000000004,0.0,0.0,199.79401939235854,1.0,0.0,0.0,0.0,0.0,0.0,-1.961454194745564,0.0,0.0,0.0,0.0,0.0,-98.0042923583899,0.0,0.0,0.0,0.0,0.0,204.79401939235854,1.0,0.0,0.0,0.0,0.0,0.0,-1.961454194745564,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.21000000000000005,0.0,0.0,199.7734247340884,1.0,0.0,0.0,0.0,0.0,0.0,-2.059465827014933,0.0,0.0,0.0,0.0,0.0,-97.9939587232428,0.0,0.0,0.0,0.0,0.0,204.7734247340884,1.0,0.0,0.0,0.0,0.0,0.0,-2.059465827014933,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.22000000000000006,0.0,0.0,199.7518500500147,1.0,0.0,0.0,0.0,0.0,0.0,-2.1574684073703363,0.0,0.0,0.0,0.0,0.0,-97.98309642648405,0.0,0.0,0.0,0.0,0.0,204.7518500500147,1.0,0.0,0.0,0.0,0.0,0.0,-2.1574684073703363,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.23000000000000007,0.0,0.0,199.7292954350605,1.0,0.0,0.0,0.0,0.0,0.0,-2.255461495420409,0.0,0.0,0.0,0.0,0.0,-97.97170566008742,0.0,0.0,0.0,0.0,0.0,204.7292954350605,1.0,0.0,0.0,0.0,0.0,0.0,-2.255461495420409,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.24000000000000007,0.0,0.0,199.70576098855108,1.0,0.0,0.0,0.0,0.0,0.0,-2.3534446509416704,0.0,0.0,0.0,0.0,0.0,-97.95978662551376,0.0,0.0,0.0,0.0,0.0,204.70576098855108,1.0,0.0,0.0,0.0,0.0,0.0,-2.3534446509416704,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.25000000000000006,0.0,0.0,199.68124681421222,1.0,0.0,0.0,0.0,0.0,0.0,-2.4514174338864234,0.0,0.0,0.0,0.0,0.0,-97.94733953370343,0.0,0.0,0.0,0.0,0.0,204.68124681421222,1.0,0.0,0.0,0.0,0.0,0.0,-2.4514174338864234,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.26000000000000006,0.0,0.0,199.6557530201683,1.0,0.0,0.0,0.0,0.0,0.0,-2.5493794043906473,0.0,0.0,0.0,0.0,0.0,-97.93436460506835,0.0,0.0,0.0,0.0,0.0,204.6557530201683,1.0,0.0,0.0,0.0,0.0,0.0,-2.5493794043906473,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.2700000000000001,0.0,0.0,199.6292797189405,1.0,0.0,0.0,0.0,0.0,0.0,-2.6473301227818835,0.0,0.0,0.0,0.0,0.0,-97.92086206948368,0.0,0.0,0.0,0.0,0.0,204.6292797189405,1.0,0.0,0.0,0.0,0.0,0.0,-2.6473301227818835,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.2800000000000001,0.0,0.0,199.6018270274446,1.0,0.0,0.0,0.0,0.0,0.0,-2.745269149587116,0.0,0.0,0.0,0.0,0.0,-97.90683216627914,0.0,0.0,0.0,0.0,0.0,204.6018270274446,1.0,0.0,0.0,0.0,0.0,0.0,-2.745269149587116,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
